500,1,27
550,1,30
605,2,34
666,3,39
732,3,43
805,2,44
886,1,46
974,3,55
1072,1,56
1179,4,67
1297,3,71
1427,2,75
1569,1,80
1726,5,96
1899,1,97
2089,1,106
2297,3,121
2527,4,134
2780,5,149
3058,1,155
3364,5,178
3700,7,199
4070,1,206
4477,4,232
4925,3,252
5417,1,273
5959,1,300
6555,1,330
7210,3,367
7932,4,405
8725,5,446
9597,5,490
10557,1,530
11613,3,587
12774,3,645
14051,2,707
15456,1,775
17002,2,854
18702,3,941
20572,1,1031
22630,4,1139
24893,4,1253
27382,5,1379
30120,5,1516
33132,6,1669
36445,1,1824
40090,4,2012
44099,3,2211
48509,3,2431
53359,1,2670
58695,2,2939
64565,2,3232
71021,1,3553
78124,2,3910
85936,1,4299
94530,1,4728
103983,2,5203
114381,3,5725
125819,3,6297
138401,4,6928
152241,1,7614
167465,4,8381
184211,5,9221
202633,5,10142
222896,1,11147
245185,1,12261
269704,5,13495
296674,4,14842
326342,1,16319
358976,3,17955
394873,3,19750
434361,1,21720
477797,2,23894
525577,1,26281
578134,2,28911
635948,3,31803
699542,4,34985
769497,1,38477
846446,4,42330
931091,1,46557
1024200,5,51220
1126620,5,56341
1239282,5,61974
1363210,6,68173
1499531,1,74979
1649485,5,82484
1814433,4,90730
1995876,3,99800
2195464,1,109775
2415010,3,120757
2656511,1,132828
2922162,2,146112
3214379,1,160721
3535817,3,176797
3889398,4,194478
4278338,1,213919
4706172,5,235319
5176789,6,258851
5694468,6,284735
6263915,7,313210
